index,date,exercise,weight,reps
0,2025-06-23,pause bench,125,5
1,2025-06-23,pause bench,125,5
2,2025-06-23,pause bench,125,5
3,2025-06-23,pendlay row,125,5
4,2025-06-23,pendlay row,125,5
5,2025-06-23,pendlay row,125,5
6,2025-06-25,overhead press,85,5
7,2025-06-25,overhead press,85,5
8,2025-06-25,overhead press,85,5
9,2025-06-25,close-grip bench press,85,8
10,2025-06-25,close-grip bench press,85,8
11,2025-06-25,close-grip bench press,85,8
12,2025-06-25,chin-up,0,5
13,2025-06-25,chin-up,0,5
14,2025-06-25,chin-up,0,5
15,2025-06-27,pause bench,130,5
16,2025-06-27,pause bench,130,5
17,2025-06-27,pause bench,130,5
18,2025-06-27,pendlay row,135,5
19,2025-06-27,pendlay row,135,5
20,2025-06-27,pendlay row,135,5
21,2025-06-30,overhead press,90,5
22,2025-06-30,overhead press,90,5
23,2025-06-30,overhead press,90,5
24,2025-06-30,close-grip bench press,95,8
25,2025-06-30,close-grip bench press,95,8
26,2025-06-30,close-grip bench press,95,8
27,2025-06-30,chin-up,5,5
28,2025-06-30,chin-up,5,5
29,2025-06-30,chin-up,5,5
30,2025-07-02,pause bench,135,5
31,2025-07-02,pause bench,135,5
32,2025-07-02,pause bench,135,5
33,2025-07-02,pendlay row,95,5
34,2025-07-02,pendlay row,95,5
35,2025-07-02,pendlay row,95,5
36,2025-07-04,overhead press,95,5
37,2025-07-04,overhead press,95,5
38,2025-07-04,overhead press,95,5
39,2025-07-04,close-grip bench press,100,8
40,2025-07-04,close-grip bench press,100,8
41,2025-07-04,close-grip bench press,100,8
42,2025-07-04,chin-up,10,5
43,2025-07-04,chin-up,10,5
44,2025-07-04,chin-up,10,5
45,2025-07-07,pause bench,140,5
46,2025-07-07,pause bench,140,5
47,2025-07-07,pause bench,140,5
48,2025-07-07,pendlay row,95,5
49,2025-07-07,pendlay row,95,5
50,2025-07-07,pendlay row,95,5
51,2025-07-09,overhead press,100,5
52,2025-07-09,overhead press,100,5
53,2025-07-09,overhead press,100,5
54,2025-07-09,close-grip bench press,105,8
55,2025-07-09,close-grip bench press,105,8
56,2025-07-09,close-grip bench press,105,8
57,2025-07-09,chin-up,10,5
58,2025-07-09,chin-up,10,5
59,2025-07-09,chin-up,10,5
60,2025-07-11,pause bench,145,5
61,2025-07-11,pause bench,145,5
62,2025-07-11,pause bench,145,5
63,2025-07-11,pendlay row,145,5
64,2025-07-11,pendlay row,145,5
65,2025-07-11,pendlay row,145,5
66,025-07-14,pause bench,150,5
67,025-07-14,pause bench,150,5
68,025-07-14,pause bench,150,5
69,025-07-14,pull up,0,5
70,025-07-14,pull up,0,5
71,025-07-14,pull up,0,5
72,025-07-16,overhead press,105,5
73,025-07-16,overhead press,105,5
74,025-07-16,overhead press,105,5
75,025-07-16,close-grip bench press,115,8
76,025-07-16,close-grip bench press,115,8
77,025-07-16,close-grip bench press,115,8
78,025-07-16,chin-up,20,5
79,025-07-16,chin-up,20,5
80,025-07-16,chin-up,20,5
81,025-07-18,pause bench,155,5
82,025-07-18,pause bench,155,5
83,025-07-18,pause bench,155,5
84,025-07-18,pull up,5,5
85,025-07-18,pull up,5,5
86,025-07-18,pull up,5,5
87,025-07-21,overhead press,110,5
88,025-07-21,overhead press,110,5
89,025-07-21,overhead press,110,5
90,025-07-21,close-grip bench press,125,8
91,025-07-21,close-grip bench press,125,8
92,025-07-21,close-grip bench press,125,8
93,025-07-21,chin-up,25,5
94,025-07-21,chin-up,25,5
95,025-07-21,chin-up,25,4
96,025-07-23,pause bench,160,5
97,025-07-23,pause bench,160,5
98,025-07-23,pause bench,160,5
99,025-07-23,pull up,10,5
100,025-07-23,pull up,10,5
101,025-07-23,pull up,10,5
102,025-07-25,overhead press,115,5
103,025-07-25,overhead press,115,5
104,025-07-25,overhead press,115,5
105,025-07-25,close-grip bench press,135,8
106,025-07-25,close-grip bench press,135,8
107,025-07-25,close-grip bench press,135,8
108,025-07-25,chin-up,25,5
109,025-07-25,chin-up,25,5
110,025-07-25,chin-up,25,4
111,025-07-28,pause bench,165,5
112,025-07-28,pause bench,165,5
113,025-07-28,pause bench,165,5
114,025-07-28,pull up,20,5
115,025-07-28,pull up,20,5
116,025-07-28,pull up,20,5
117,025-07-30,overhead press,120,5
118,025-07-30,overhead press,120,5
119,025-07-30,overhead press,120,5
120,025-07-30,close-grip bench press,140,8
121,025-07-30,close-grip bench press,140,8
122,025-07-30,close-grip bench press,140,8
123,025-07-30,chin-up,25,5
124,025-07-30,chin-up,25,5
125,025-07-30,chin-up,25,5
126,025-08-01,pause bench,170,5
127,025-08-01,pause bench,170,5
128,025-08-01,pause bench,170,5
129,025-08-01,pull up,20,5
130,025-08-01,pull up,20,5
131,025-08-01,pull up,20,5
132,025-08-04,overhead press,125,5
133,025-08-04,overhead press,110,5
134,025-08-04,overhead press,110,5
135,025-08-04,close-grip bench press,145,8
136,025-08-04,close-grip bench press,145,8
137,025-08-04,close-grip bench press,145,8
138,025-08-04,chin-up,30,3
139,025-08-04,chin-up,30,3
140,025-08-04,chin-up,30,3
141,025-08-06,pause bench,175,5
142,025-08-06,pause bench,175,5
143,025-08-06,pause bench,175,5
144,025-08-06,pull up,25,5
145,025-08-06,pull up,25,5
146,025-08-06,pull up,25,5
147,025-08-11,overhead press,115,5
148,025-08-11,overhead press,115,5
